exercise,sets,reps,rest
Box ^Squat,"[2, 3, 4, 2, 3, 4, 1, 1]","[4, 4, 4, 3, 3, 3, 6, 6]","['2 Miin', '2 Miin', '2 Miin', '2 Miin', '2 Miin', '2 Miin', '""', '""']"
 Staggered Stance RDL,"[2, 3, 4, 2, 3, 4, '2-4', '2-4']","[12, 12, 10, 10, 8, 8, 6, 6]","['60-90 sec', '60-90 sec', '60-90 sec', '60-90 sec', '60-90 sec', '60-90 sec', '""', '""']"
 RNT Split Squat,"[2, 3, 4, 2, 3, 4, 1, 1]","[12, 12, 10, 10, 8, 8, 6, 6]","['60-90 sec', '60-90 sec', '60-90 sec', '60-90 sec', '60-90 sec', '60-90 sec', '""', '""']"
 Leg Extensions,"[2, 3, 3, 2, 3, 3, '2-4', '2-4']","[12, 12, 10, 10, 8, 8, 6, 6]","['60-90 sec', '60-90 sec', '60-90 sec', '60-90 sec', '60-90 sec', '60-90 sec', '""', '""']"
 Leg Curls,"[2, 3, 3, 2, 3, 3, 3, 2]","[12, 12, 10, 10, 8, 8, 8, 8]","['60-90 sec', '60-90 sec', '60-90 sec', '60-90 sec', '60-90 sec', '60-90 sec', '""', '""']"
 Glute Bridge March,"[2, 3, 3, 2, 3, 3, 3, 2]","[8, 8, 10, 10, 12, 12, 8, 8]","['60-90 sec', '60-90 sec', '60-90 sec', '60-90 sec', '60-90 sec', '60-90 sec', '""', '""']"
 Bird Dog,"[2, 3, 3, 2, 3, 3, None, None]","[8, 8, 10, 10, 12, 12, None, None]","['60-90 sec', '60-90 sec', '60-90 sec', '60-90 sec', '60-90 sec', '60-90 sec', None, None]"
,,,
3 Second Pause ^Bench,"[2, 3, 4, 2, 3, 4, 'Max 3', 'Max 3']","[4, 4, 4, 3, 3, 3, '1/1/1/1', '1/1/1/1']","['2 Miin', '2 Miin', '2 Miin', '2 Miin', '2 Miin', '2 Miin', '90 Sec', '90 Sec']"
 Incline Dumbbell press,"[2, 3, 4, 2, 3, 4, 3, 2]","[12, 12, 10, 10, 8, 8, '5', '5']","['60-90 sec', '60-90 sec', '60-90 sec', '60-90 sec', '60-90 sec', '60-90 sec', '2 mins', '2 mins']"
 Seated Cable Row,"[2, 3, 4, 2, 3, 4, 3, 2]","[12, 12, 10, 10, 8, 8, 8, 8]","['60-90 sec', '60-90 sec', '60-90 sec', '60-90 sec', '60-90 sec', '60-90 sec', '90 sec', '90 sec']"
 Single Arm Half  kneeling Dumbbell Shoulder Press,"[2, 3, 4, 2, 3, 4, 3, 2]","[12, 12, 10, 10, 8, 8, 8, 8]","['60-90 sec', '60-90 sec', '60-90 sec', '60-90 sec', '60-90 sec', '60-90 sec', '90 sec', '90 sec']"
 Face Pulls,"[2, 3, 4, 2, 3, 4, 3, 2]","[12, 12, 10, 10, 8, 8, 8, 8]","['60-90 sec', '60-90 sec', '60-90 sec', '60-90 sec', '60-90 sec', '60-90 sec', '90 sec', '90 sec']"
 Hammer Curl,"[2, 3, 4, 2, 3, 4, 3, 2]","[12, 12, 10, 10, 8, 8, 8, 8]","['60-90 sec', '60-90 sec', '60-90 sec', '60-90 sec', '60-90 sec', '60-90 sec', '90 sec', '90 sec']"
 Cable Tricep Push Downs,"[2, 3, 4, 2, 3, 4, None, None]","[12, 12, 10, 10, 8, 8, None, None]","['60-90 sec', '60-90 sec', '60-90 sec', '60-90 sec', '60-90 sec', '60-90 sec', None, None]"
,,,
Hover ^Deadlift,"[2, 3, 4, 2, 3, 4, 'Max 3', 'Max 3']","[4, 4, 4, 3, 3, 3, '1/1/1/1', '1/1/1/1']","['2 Miin', '2 Miin', '2 Miin', '2 Miin', '2 Miin', '2 Miin', '90 Sec', '90 Sec']"
 Front Squat/Zombie Squat,"[2, 3, 4, 2, 3, 4, 'Max 3', 'Max 3']","[10, 10, 8, 8, 6, 6, '1/1/1/1', '1/1/1/1']","['2 Miin', '2 Miin', '2 Miin', '2 Miin', '2 Miin', '2 Miin', '90 Sec', '90 Sec']"
