name,muscle,equipment,movement_images,difficulty
Band Hip Abductions,● Abductors,Resistance Band,https://cdn.fitsw.com/assets/img/exerciseGifs/Band_Hip_Abductions_Leg_Abductors_Exercise_Demo_How-to.gif,Beginner
Clam,● Abductors,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Clam_Abductor_Leg_Exercise_Demo_How-to.gif,Beginner
Fire Hydrant,● Abductors,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Fire_Hydrant_Leg_Exercise_Demo_How-to.gif,Beginner
Floor Abductor,● Abductors,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Floor_Abductor_Leg_Hip_Exercise_Demo_How-to.gif,Beginner
Hip Abduction Cable,● Abductors,Cable,https://cdn.fitsw.com/assets/img/exerciseGifs/Hip_Abduction_Cable_Leg_Exercise_Demo_How-to.gif,Beginner
Hip Circles (Prone),● Abductors,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Hip_Circles_Prone_Position_Abductors_Hip_Exercise_Demo_How-to.gif,Beginner
Iliotibial Tract-Smr,● Abductors,Foam Roller,https://cdn.fitsw.com/assets/img/exerciseGifs/Iliotibial_tract-SMR__IT_Band_Foam_Rolling_Stretching_Exercise_Demo_How-to.gif,Intermediate
Side Leg Raise,● Abductors,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Side_Leg_Raise_Abductors_Hips_Leg_Exercise_Demo_How-to.gif,Beginner
Stability Ball Banded Pull-apart Pulses,● Abductors,"Elastic Bands, Stability Ball",https://cdn.fitsw.com/assets/img/exerciseGifs/Stability-Ball-Banded-Pull-apart-Pulses.gif,Beginner
Standing Hip Circles,● Abductors,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Standing_Hip_Circles_Abductors_Leg_Exercise_Demo_How-to.gif,Beginner
Thigh Abductor,● Abductors,Machine,https://cdn.fitsw.com/assets/img/exerciseGifs/Thigh_Abductor_Legs_Abductor_Exercise_Demo_How-to.gif,Beginner
Windmills,● Abductors,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Windmills_Legs_Abductor_Exercise_Demo_How-to.gif,Intermediate
3/4 Sit-Up,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/34_Situp_Ab_Core_Exercise_Demo_How-to.gif,Beginner
Ab Rollouts,● Abs,Ab Wheel,https://cdn.fitsw.com/assets/img/exerciseGifs/AbRollouts.gif,Intermediate
Alternate Heel Touchers,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Alternate_Heel_Touches_Core_Ab_Exercise_Demo_How-to.gif,Beginner
Alternating Abdominal Kick,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Alternating_Abdominal_Kick_Exercise_Demo_How-to.gif,Intermediate
Alternating Cable Twist,● Abs,Cable,https://cdn.fitsw.com/assets/img/exerciseGifs/Alternating_Cable_Twist_Standing_Exercise_Demo_How-to.gif,Beginner
Angled Side Bridge,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Angled_Side_Bridge_Exercise_Demo_How-to.gif,Beginner
Ball Side Bend,● Abs,Stability Ball,https://cdn.fitsw.com/assets/img/exerciseGifs/Ball_Side_Bend_Abs_Core_Oblique_Exercise_Demo_How-to.gif,Intermediate
Banded Hip Hinge Over the Shoulder Pull,● Abs,Resistance Band,https://cdn.fitsw.com/assets/img/exerciseGifs/BandedHipHingePullResistance.gif,Beginner
Barbell Ab Rollout - On Knees,● Abs,Barbell,https://cdn.fitsw.com/assets/img/exerciseGifs/Barbell_Ab_Rollout-On_Knees_Ab_Core_Exercise_Demo_How-to.gif,Advanced
Barbell Push Crunch,● Abs,Barbell,https://cdn.fitsw.com/assets/img/exerciseGifs/Barbell_Push_Crunch_Exercise_Demo_How-to.gif,Intermediate
Barbell Push Sit-up,● Abs,Barbell,https://cdn.fitsw.com/assets/img/exerciseGifs/Barbell_Push_Sit-up_Exercise_Demo_How-to.gif,Advanced
Barbell Rollout From Bench,● Abs,Barbell,https://cdn.fitsw.com/assets/img/exerciseGifs/Barbell_Ab_Rollout_From_Bench_Abs_Core_Exercise_Demo_How-to.gif,Intermediate
Bent Knee Lying Twist,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Bent_Knee_Lying_Twist_Exercise_Demo_How-to.gif,Intermediate
Bent Knee Side Plank,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Bent_Knee_Side_Plank_Core_Exercise_Demo_How-to.gif,Beginner
Bicycle Crunches,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Bicycle_Crunches_Exercise_Demo_How-to.gif,Beginner
Bird Dog,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Bird_Dog_Exercise_Demo_How-to.gif,Intermediate
Bosu Ball Cable Crunch With Side Bends,● Abs,"Bosu, Cable",https://cdn.fitsw.com/assets/img/exerciseGifs/Bosu_Ball_Cable_Crunch_with_Side_Bends_Abs_Core_Exercise_Demo_How-to.gif,Beginner
Butt-Ups,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Butt-ups_Core_Ab_Exercise_Demo_How-to.gif,Beginner
Cable Circles,● Abs,Cable,https://cdn.fitsw.com/assets/img/exerciseGifs/Cable_Circles_Exercise_Demo_How-to.gif,Intermediate
Cable Kneeling Crunch,● Abs,Cable,https://cdn.fitsw.com/assets/img/exerciseGifs/Cable_Kneeling_Crunch_Exercise_Demo_How-to.gif,Beginner
Cable Lying Crunch Stability Ball,● Abs,Cable,https://cdn.fitsw.com/assets/img/exerciseGifs/Cable_Lying_Crunch_Stability_Ball_Exercise_Demo_How-to.gif,Beginner
Cable Lying Leg Hip Raise,● Abs,Cable,https://cdn.fitsw.com/assets/img/exerciseGifs/Cable_Lying_Leg_Hip_Raise_Abs_Core_Exercise_Demo_How-to.gif,Intermediate
Cable Oblique Twist,● Abs,Cable,https://cdn.fitsw.com/assets/img/exerciseGifs/Oblique_Twist__Wood_Chopper_Exercise_Demo_How-to.gif,Beginner
Cable Reverse Crunch,● Abs,Cable,https://cdn.fitsw.com/assets/img/exerciseGifs/Cable_Reverse_Crunch_Core_Ab_Exercise_Demo_How-to.gif,Beginner
