exercise,sets,reps,rest
 Goblett Squat,"[2, 3, 4, 4, 2, 3, 4, 4]","[12, 12, 12, 10, 10, 10, 8, 8]","['60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec']"
 Single Leg RDL,"[2, 3, 4, 4, 2, 3, 4, 4]","[8, 8, 8, 10, 10, 10, 12, 12]","['60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec']"
 Push Up (Front Elevated if needed),"[2, 3, 4, 4, 2, 3, 4, 4]","[5, 5, 5, 6, 6, 6, 8, 8]","['60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec']"
 Single Arm Dumbbell Horizontal Row,"[2, 3, 4, 4, 2, 3, 4, 4]","[12, 12, 12, 10, 10, 10, 8, 8]","['60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec']"
 Glute Bridge March,"[2, 3, 4, 4, 2, 3, 4, 4]","[8, 8, 8, 10, 10, 10, 12, 12]","['60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec']"
 Single Arm External Rota (vertical),"[2, 3, 4, 4, 2, 3, 4, 4]","[8, 8, 8, 10, 10, 10, 12, 12]","['60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec']"
 Cable Triceps Push Down,"[2, 3, 4, 4, 2, 3, 4, 4]","[12, 12, 12, 10, 10, 10, 8, 8]","['60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec']"
 One,"[None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None]"
,,,
 Split Squat,"[2, 3, 4, 4, 2, 3, 4, 4]","[8, 8, 8, 10, 10, 10, 12, 12]","['60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec']"
 Banded or Cable Pull Through,"[2, 3, 4, 4, 2, 3, 4, 4]","[12, 12, 12, 10, 10, 10, 8, 8]","['60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec']"
 TRX Push Up,"[2, 3, 4, 4, 2, 3, 4, 4]","[5, 5, 5, 6, 6, 6, 8, 8]","['60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec']"
 TRX Low Row,"[2, 3, 4, 4, 2, 3, 4, 4]","[8, 8, 8, 10, 10, 10, 12, 12]","['60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec']"
 Bottom Up Kettlebell Shoulder Press,"[2, 3, 4, 4, 2, 3, 4, 4]","[5, 5, 5, 6, 6, 6, 8, 8]","['60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec']"
 Low to High Wood Chop,"[2, 3, 4, 4, 2, 3, 4, 4]","[8, 8, 8, 10, 10, 10, 12, 12]","['60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec']"
 Zottman Curl,"[2, 3, 4, 4, 2, 3, 4, 4]","[8, 8, 8, 10, 10, 10, 12, 12]","['60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec']"
 Two,"[None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None]"
,,,
 Lateral Split Squat,"[2, 3, 4, 4, 2, 3, 4, 4]","[8, 8, 8, 10, 10, 10, 12, 12]","['60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec']"
 Barbell Good Morning,"[2, 3, 4, 4, 2, 3, 4, 4]","[8, 8, 8, 10, 10, 10, 12, 12]","['60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec']"
 Incline Dumbbell Press,"[2, 3, 4, 4, 2, 3, 4, 4]","[12, 12, 12, 10, 10, 10, 8, 8]","['60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec']"
 Chest Supported Mid Row.,"[2, 3, 4, 4, 2, 3, 4, 4]","[12, 12, 12, 10, 10, 10, 8, 8]","['60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec']"
 Ys As and Ts,"[2, 3, 4, 4, 2, 3, 4, 4]","[5, 5, 5, 6, 6, 6, 8, 8]","['60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec']"
 Hip Airplane,"[2, 3, 4, 4, 2, 3, 4, 4]","[5, 5, 5, 6, 6, 6, 8, 8]","['60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec']"
 Elevated Half Plank Up Down,"[2, 3, 4, 4, 2, 3, 4, 4]","[8, 8, 8, 10, 10, 10, 12, 12]","['60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec', '60-90Sec']"
 Three,"[None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None]"
,,,
