exercise,sets,reps,rest
Pause ^Squat,"[2, 3, 4, 5, 2, 3, 4, 5]","[3, 3, 4, 5, 3, 3, 4, 5]","['2 Min', '2 Min', '2 Min', '2 Min', '3 Min', '3 Min', '3 Min', '3 Min']"
 Single Leg RDL,"[2, 3, 3, 2, 3, 3, 3, 2]","[12, 12, 12, 10, 10, 10, 8, 8]","['60-90 Sec', '60-90 Sec', '60-90 Sec', '60-90 Sec', '60-90 Sec', '60-90 Sec', '60-90 Sec', '60-90 Sec']"
 Dumbbell Split Squat,"[2, 3, 3, 2, 3, 3, 3, 2]","[12, 12, 12, 10, 10, 10, 8, 8]","['60-90 Sec', '60-90 Sec', '60-90 Sec', '60-90 Sec', '60-90 Sec', '60-90 Sec', '60-90 Sec', '60-90 Sec']"
 Reverse Hyper Extension,"[2, 3, 3, 2, 3, 3, 3, 2]","[12, 12, 12, 10, 10, 10, 8, 8]","['60-90 Sec', '60-90 Sec', '60-90 Sec', '60-90 Sec', '60-90 Sec', '60-90 Sec', '60-90 Sec', '60-90 Sec']"
 Dead Bug Oppostie Arm Opposite Leg,"[2, 3, 3, 2, 3, 3, 3, 2]","[12, 12, 12, 10, 10, 10, 8, 8]","['60-90 Sec', '60-90 Sec', '60-90 Sec', '60-90 Sec', '60-90 Sec', '60-90 Sec', '60-90 Sec', '60-90 Sec']"
 Half Copenhagen Side Plank,"[2, 3, 3, 2, 3, 3, 3, 2]","['15 sec', '15 sec', '15 sec', '20 Sec', '20 Sec', '20 Sec', '30 Sec', '30 Sec']","['60-90 Sec', '60-90 Sec', '60-90 Sec', '60-90 Sec', '60-90 Sec', '60-90 Sec', '60-90 Sec', '60-90 Sec']"
,,,
3 Second Pause ^Bench,"[2, 3, 4, 5, 2, 3, 4, 5]","[3, 3, 4, 5, 3, 3, 4, 5]","['2 Min', '2 Min', '2 Min', '2 Min', '3 Min', '3 Min', '3 Min', '3 Min']"
 Bent Over Barbell Row,"[2, 3, 3, 2, 3, 3, 3, 2]","[12, 12, 12, 10, 10, 10, 8, 8]","['60-90 Sec', '60-90 Sec', '60-90 Sec', '60-90 Sec', '60-90 Sec', '60-90 Sec', '60-90 Sec', '60-90 Sec']"
 Single Arm Kneeling Shoulder Press,"[2, 3, 3, 2, 3, 3, 3, 2]","[12, 12, 12, 10, 10, 10, 8, 8]","['60-90 Sec', '60-90 Sec', '60-90 Sec', '60-90 Sec', '60-90 Sec', '60-90 Sec', '60-90 Sec', '60-90 Sec']"
 Single Arm Ext Rota Horizontal,"[2, 3, 3, 2, 3, 3, 3, 2]","[12, 12, 12, 10, 10, 10, 8, 8]","['60-90 Sec', '60-90 Sec', '60-90 Sec', '60-90 Sec', '60-90 Sec', '60-90 Sec', '60-90 Sec', '60-90 Sec']"
 Cable Triceps Push Down,"[2, 3, 3, 2, 3, 3, 3, 2]","[12, 12, 12, 10, 10, 10, 8, 8]","['60-90 Sec', '60-90 Sec', '60-90 Sec', '60-90 Sec', '60-90 Sec', '60-90 Sec', '60-90 Sec', '60-90 Sec']"
